randomtestadventurer.c:
Testing Adventurer...
Seed: 1635127377, test failed, incorrect number of cards in hand.
Seed: 1089093695, test failed, incorrect number of cards in hand.
Seed: 1878868621, test failed, incorrect number of cards in hand.
Seed: 524000471, test failed, incorrect number of cards in hand.
Seed: 702204698, test failed, incorrect number of cards in hand.
Seed: 1099754196, test failed, incorrect number of cards in hand.
Seed: 1955367867, test failed, incorrect number of cards in hand.
Seed: 828514871, test failed, incorrect number of cards in hand.
Seed: 1216175989, test failed, incorrect number of cards in hand.
Seed: 639678463, test failed, incorrect number of cards in hand.
Seed: 416290407, test failed, incorrect number of cards in hand.
Seed: 1211700409, test failed, incorrect number of cards in hand.
Seed: 1071121882, test failed, incorrect number of cards in hand.
Seed: 2005762394, test failed, incorrect number of cards in hand.
Seed: 1957641632, test failed, incorrect number of cards in hand.
Seed: 1381433768, test failed, incorrect number of cards in hand.
Seed: 1262868308, test failed, incorrect number of cards in hand.
Seed: 1335821776, test failed, incorrect number of cards in hand.
Seed: 1999128963, test failed, incorrect number of cards in hand.
Seed: 1888744178, test failed, incorrect number of cards in hand.
Seed: 1253064038, test failed, incorrect number of cards in hand.
Seed: 1719474060, test failed, incorrect number of cards in hand.
Seed: 1832230918, test failed, incorrect number of cards in hand.
Seed: 722257371, test failed, incorrect number of cards in hand.
Seed: 169047266, test failed, incorrect number of cards in hand.
Seed: 1453464549, test failed, incorrect number of cards in hand.
Seed: 665321912, test failed, incorrect number of cards in hand.
Seed: 554823209, test failed, incorrect number of cards in hand.
Seed: 488722182, test failed, incorrect number of cards in hand.
Seed: 750132136, test failed, incorrect number of cards in hand.
Seed: 54525091, test failed, incorrect number of cards in hand.
Seed: 129787342, test failed, incorrect number of cards in hand.
Seed: 864385299, test failed, incorrect number of cards in hand.
Seed: 280499690, test passed.
Seed: 1748213167, test failed, incorrect number of cards in hand.
Seed: 1327516836, test failed, incorrect number of cards in hand.
Seed: 2020841499, test failed, incorrect number of cards in hand.
Seed: 270834954, test failed, incorrect number of cards in hand.
Seed: 471075232, test failed, incorrect number of cards in hand.
Seed: 205831916, test failed, incorrect number of cards in hand.
Seed: 2041600361, test failed, incorrect number of cards in hand.
Seed: 1203569507, test failed, incorrect number of cards in hand.
Seed: 594679062, test failed, incorrect number of cards in hand.
Seed: 1682516726, test failed, incorrect number of cards in hand.
Seed: 393190922, test failed, incorrect number of cards in hand.
Seed: 340686775, test failed, incorrect number of cards in hand.
Seed: 1049855271, test failed, incorrect number of cards in hand.
Seed: 2111430885, test failed, incorrect number of cards in hand.
Seed: 118231053, test failed, incorrect number of cards in hand.
Seed: 2021292296, test failed, incorrect number of cards in hand.
Seed: 165027288, test failed, incorrect number of cards in hand.
Seed: 1760436660, test failed, incorrect number of cards in hand.
Seed: 1655408124, test failed, incorrect number of cards in hand.
Seed: 1583742681, test failed, incorrect number of cards in hand.
Seed: 279974650, test failed, incorrect number of cards in hand.
Seed: 2086472982, test failed, incorrect number of cards in hand.
Seed: 107363637, test failed, incorrect number of cards in hand.
Seed: 695753162, test failed, incorrect number of cards in hand.
Seed: 679149724, test failed, incorrect number of cards in hand.
Seed: 606552272, test failed, incorrect number of cards in hand.
Seed: 1611941321, test failed, incorrect number of cards in hand.
Seed: 1394313808, test failed, incorrect number of cards in hand.
Seed: 551933525, test failed, incorrect number of cards in hand.
Seed: 2007407330, test failed, incorrect number of cards in hand.
Seed: 789938794, test failed, incorrect number of cards in hand.
Seed: 400714104, test failed, incorrect number of cards in hand.
Seed: 1765699975, test failed, incorrect number of cards in hand.
Seed: 979449544, test failed, incorrect number of cards in hand.
Seed: 837482689, test failed, incorrect number of cards in hand.
Seed: 2065780381, test failed, incorrect number of cards in hand.
Seed: 1938451157, test failed, incorrect number of cards in hand.
Seed: 1066295058, test failed, incorrect number of cards in hand.
Seed: 1434442473, test failed, incorrect number of cards in hand.
Seed: 795155136, test failed, incorrect number of cards in hand.
Seed: 291011588, test failed, incorrect number of cards in hand.
Seed: 1293752789, test failed, incorrect number of cards in hand.
Seed: 1768505837, test failed, incorrect number of cards in hand.
Seed: 124095244, test failed, incorrect number of cards in hand.
Seed: 1636384413, test failed, incorrect number of cards in hand.
Seed: 666202005, test failed, incorrect number of cards in hand.
Seed: 726473474, test failed, incorrect number of cards in hand.
Seed: 799355337, test failed, incorrect number of cards in hand.
Seed: 1054498513, test failed, incorrect number of cards in hand.
Seed: 1320607200, test failed, incorrect number of cards in hand.
Seed: 89178357, test failed, incorrect number of cards in hand.
Seed: 1942469985, test failed, incorrect number of cards in hand.
Seed: 279610434, test failed, incorrect number of cards in hand.
Seed: 1945416299, test failed, incorrect number of cards in hand.
Seed: 596889746, test failed, incorrect number of cards in hand.
Seed: 215752135, test failed, incorrect number of cards in hand.
Seed: 225890342, test failed, incorrect number of cards in hand.
Seed: 827672326, test failed, incorrect number of cards in hand.
Seed: 2042358358, test failed, incorrect number of cards in hand.
Seed: 632637575, test failed, incorrect number of cards in hand.
Seed: 2022448267, test failed, incorrect number of cards in hand.
Seed: 1317262067, test failed, incorrect number of cards in hand.
Seed: 1143614695, test failed, incorrect number of cards in hand.
Seed: 604388611, test failed, incorrect number of cards in hand.
Seed: 1980722094, test failed, incorrect number of cards in hand.
Seed: 1881833215, test failed, incorrect number of cards in hand.
Seed: 1893632605, test failed, incorrect number of cards in hand.
Seed: 47323463, test failed, incorrect number of cards in hand.
Seed: 585573890, test failed, incorrect number of cards in hand.
Seed: 333880374, test failed, incorrect number of cards in hand.
Seed: 92859833, test failed, incorrect number of cards in hand.
Seed: 465232253, test failed, incorrect number of cards in hand.
Seed: 2022580753, test failed, incorrect number of cards in hand.
Seed: 716575066, test failed, incorrect number of cards in hand.
Seed: 1462323467, test failed, incorrect number of cards in hand.
Seed: 1160409490, test failed, incorrect number of cards in hand.
Seed: 1238031987, test failed, incorrect number of cards in hand.
Seed: 1852069294, test failed, incorrect number of cards in hand.
Seed: 347062507, test failed, incorrect number of cards in hand.
Seed: 377855070, test failed, incorrect number of cards in hand.
Seed: 1969141634, test failed, incorrect number of cards in hand.
Seed: 1254421904, test failed, incorrect number of cards in hand.
Seed: 953270179, test failed, incorrect number of cards in hand.
Seed: 1056883373, test failed, incorrect number of cards in hand.
Seed: 509517249, test failed, incorrect number of cards in hand.
Seed: 124296896, test failed, incorrect number of cards in hand.
Seed: 492963052, test failed, incorrect number of cards in hand.
Seed: 640964284, test failed, incorrect number of cards in hand.
Seed: 929834870, test failed, incorrect number of cards in hand.
Seed: 686487273, test failed, incorrect number of cards in hand.
Seed: 82565780, test failed, incorrect number of cards in hand.
Seed: 218793300, test failed, incorrect number of cards in hand.
Seed: 1139794889, test failed, incorrect number of cards in hand.
Seed: 1754195166, test failed, incorrect number of cards in hand.
Seed: 980253869, test failed, incorrect number of cards in hand.
Seed: 1172510845, test failed, incorrect number of cards in hand.
Seed: 504099967, test failed, incorrect number of cards in hand.
Seed: 1757483539, test failed, incorrect number of cards in hand.
Seed: 1667131353, test failed, incorrect number of cards in hand.
Seed: 814162550, test failed, incorrect number of cards in hand.
Seed: 79529942, test failed, incorrect number of cards in hand.
Seed: 1389917514, test failed, incorrect number of cards in hand.
Seed: 1617526235, test failed, incorrect number of cards in hand.
Seed: 1778171985, test failed, incorrect number of cards in hand.
Seed: 584246383, test failed, incorrect number of cards in hand.
Seed: 164792559, test failed, incorrect number of cards in hand.
Seed: 762402191, test failed, incorrect number of cards in hand.
Seed: 1103743886, test failed, incorrect number of cards in hand.
Seed: 2125259974, test failed, incorrect number of cards in hand.
Seed: 526746060, test failed, incorrect number of cards in hand.
Seed: 533039519, test failed, incorrect number of cards in hand.
Seed: 849402956, test failed, incorrect number of cards in hand.
Seed: 505955435, test failed, incorrect number of cards in hand.
Seed: 1567813197, test failed, incorrect number of cards in hand.
Seed: 1017793190, test failed, incorrect number of cards in hand.
Seed: 2008128453, test failed, incorrect number of cards in hand.
Seed: 2126166842, test failed, incorrect number of cards in hand.
Seed: 1257969122, test failed, incorrect number of cards in hand.
Seed: 1874377049, test failed, incorrect number of cards in hand.
Seed: 862414652, test failed, incorrect number of cards in hand.
Seed: 615157739, test failed, incorrect number of cards in hand.
Seed: 419506675, test failed, incorrect number of cards in hand.
Seed: 1725298312, test failed, incorrect number of cards in hand.
Seed: 194712791, test failed, incorrect number of cards in hand.
Seed: 759095859, test failed, incorrect number of cards in hand.
Seed: 1076043178, test failed, incorrect number of cards in hand.
Seed: 911974787, test failed, incorrect number of cards in hand.
Seed: 326970201, test failed, incorrect number of cards in hand.
Seed: 353012584, test failed, incorrect number of cards in hand.
Seed: 84558828, test failed, incorrect number of cards in hand.
Seed: 167627694, test failed, incorrect number of cards in hand.
Seed: 1592239786, test failed, incorrect number of cards in hand.
Seed: 214532360, test failed, incorrect number of cards in hand.
Seed: 1065057791, test failed, incorrect number of cards in hand.
Seed: 179533913, test failed, incorrect number of cards in hand.
Seed: 702218003, test failed, incorrect number of cards in hand.
Seed: 658181987, test failed, incorrect number of cards in hand.
Seed: 647676842, test failed, incorrect number of cards in hand.
Seed: 336838792, test failed, incorrect number of cards in hand.
Seed: 103853139, test failed, incorrect number of cards in hand.
Seed: 1234936643, test failed, incorrect number of cards in hand.
Seed: 1037002916, test failed, incorrect number of cards in hand.
Seed: 524851310, test failed, incorrect number of cards in hand.
Seed: 1347202039, test failed, incorrect number of cards in hand.
Seed: 486161995, test failed, incorrect number of cards in hand.
Seed: 1350124457, test failed, incorrect number of cards in hand.
Seed: 1738572050, test failed, incorrect number of cards in hand.
Seed: 1016898500, test failed, incorrect number of cards in hand.
Seed: 734457867, test failed, incorrect number of cards in hand.
Seed: 197890116, test failed, incorrect number of cards in hand.
Seed: 1438861523, test failed, incorrect number of cards in hand.
Seed: 517689725, test failed, incorrect number of cards in hand.
Seed: 215586234, test failed, incorrect number of cards in hand.
Seed: 1939610233, test failed, incorrect number of cards in hand.
Seed: 498655096, test failed, incorrect number of cards in hand.
Seed: 900860408, test failed, incorrect number of cards in hand.
Seed: 1453672912, test failed, incorrect number of cards in hand.
Seed: 1549828130, test failed, incorrect number of cards in hand.
Seed: 1266046114, test failed, incorrect number of cards in hand.
Seed: 1488047796, test failed, incorrect number of cards in hand.
Seed: 1178058974, test failed, incorrect number of cards in hand.
Seed: 123427044, test failed, incorrect number of cards in hand.
Seed: 1466314360, test failed, incorrect number of cards in hand.
Seed: 207958888, test failed, incorrect number of cards in hand.
Seed: 718219752, test failed, incorrect number of cards in hand.
Seed: 392030276, test failed, incorrect number of cards in hand.
Seed: 389164959, test failed, incorrect number of cards in hand.
Seed: 1124105531, test failed, incorrect number of cards in hand.
Seed: 900088029, test failed, incorrect number of cards in hand.
Seed: 877880335, test failed, incorrect number of cards in hand.
Seed: 1929823467, test failed, incorrect number of cards in hand.
Seed: 1632209146, test failed, incorrect number of cards in hand.
Seed: 1262870453, test failed, incorrect number of cards in hand.
Seed: 697382966, test failed, incorrect number of cards in hand.
Seed: 2069800010, test failed, incorrect number of cards in hand.
Seed: 1490839488, test failed, incorrect number of cards in hand.
Seed: 1859526666, test failed, incorrect number of cards in hand.
Seed: 2144927614, test failed, incorrect number of cards in hand.
Seed: 868661569, test failed, incorrect number of cards in hand.
Seed: 1400001038, test failed, incorrect number of cards in hand.
Seed: 426285837, test failed, incorrect number of cards in hand.
Seed: 1619872788, test failed, incorrect number of cards in hand.
Seed: 1426663140, test failed, incorrect number of cards in hand.
Seed: 12927814, test failed, incorrect number of cards in hand.
Seed: 1466888402, test failed, incorrect number of cards in hand.
Seed: 662585918, test failed, incorrect number of cards in hand.
Seed: 1838067936, test failed, incorrect number of cards in hand.
Seed: 1968898698, test failed, incorrect number of cards in hand.
Seed: 19660933, test failed, incorrect number of cards in hand.
Seed: 1962130582, test failed, incorrect number of cards in hand.
Seed: 147023159, test failed, incorrect number of cards in hand.
Seed: 973760377, test failed, incorrect number of cards in hand.
Seed: 393084374, test failed, incorrect number of cards in hand.
Seed: 216753098, test failed, incorrect number of cards in hand.
Seed: 1192627167, test failed, incorrect number of cards in hand.
Seed: 1137649238, test failed, incorrect number of cards in hand.
Seed: 835981545, test failed, incorrect number of cards in hand.
Seed: 631584715, test failed, incorrect number of cards in hand.
Seed: 2082537095, test failed, incorrect number of cards in hand.
Seed: 604109038, test failed, incorrect number of cards in hand.
Seed: 762967381, test failed, incorrect number of cards in hand.
Seed: 484800896, test failed, incorrect number of cards in hand.
Seed: 1881855757, test failed, incorrect number of cards in hand.
Seed: 1677495636, test failed, incorrect number of cards in hand.
Seed: 1324149709, test failed, incorrect number of cards in hand.
Seed: 1358301238, test failed, incorrect number of cards in hand.
Seed: 1739245428, test failed, incorrect number of cards in hand.
Seed: 2037807254, test failed, incorrect number of cards in hand.
Seed: 555898192, test failed, incorrect number of cards in hand.
Seed: 897509407, test failed, incorrect number of cards in hand.
Seed: 1880719137, test failed, incorrect number of cards in hand.
Seed: 718817024, test failed, incorrect number of cards in hand.
Seed: 1202091620, test failed, incorrect number of cards in hand.
Seed: 1156835346, test failed, incorrect number of cards in hand.
Seed: 1401281092, test failed, incorrect number of cards in hand.
Seed: 327561275, test failed, incorrect number of cards in hand.
Seed: 1830486258, test failed, incorrect number of cards in hand.
Seed: 2108415274, test failed, incorrect number of cards in hand.
Seed: 652631233, test failed, incorrect number of cards in hand.
Seed: 110037724, test failed, incorrect number of cards in hand.
Seed: 1588592988, test failed, incorrect number of cards in hand.
Seed: 628912264, test failed, incorrect number of cards in hand.
Seed: 400207004, test failed, incorrect number of cards in hand.
Seed: 1153685564, test failed, incorrect number of cards in hand.
Seed: 1372050892, test failed, incorrect number of cards in hand.
Seed: 4319819, test failed, incorrect number of cards in hand.
Seed: 1232781170, test failed, incorrect number of cards in hand.
Seed: 631824745, test failed, incorrect number of cards in hand.
Seed: 1014685722, test failed, incorrect number of cards in hand.
Seed: 1903442003, test failed, incorrect number of cards in hand.
Seed: 872991313, test failed, incorrect number of cards in hand.
Seed: 288946400, test failed, incorrect number of cards in hand.
Seed: 1253709150, test failed, incorrect number of cards in hand.
Seed: 759479322, test failed, incorrect number of cards in hand.
Seed: 556911734, test failed, incorrect number of cards in hand.
Seed: 2123616726, test failed, incorrect number of cards in hand.
Seed: 1610865966, test failed, incorrect number of cards in hand.
Seed: 1788637176, test failed, incorrect number of cards in hand.
Seed: 1683472480, test failed, incorrect number of cards in hand.
Seed: 2032153960, test failed, incorrect number of cards in hand.
Seed: 1332667979, test failed, incorrect number of cards in hand.
Seed: 369962616, test failed, incorrect number of cards in hand.
Seed: 1838883616, test failed, incorrect number of cards in hand.
Seed: 169911553, test failed, incorrect number of cards in hand.
Seed: 562875254, test failed, incorrect number of cards in hand.
Seed: 24199419, test failed, incorrect number of cards in hand.
Seed: 390467384, test failed, incorrect number of cards in hand.
Seed: 2008722710, test failed, incorrect number of cards in hand.
Seed: 648473544, test failed, incorrect number of cards in hand.
Seed: 1088622958, test failed, incorrect number of cards in hand.
Seed: 1575708619, test failed, incorrect number of cards in hand.
Seed: 2070893108, test failed, incorrect number of cards in hand.
Seed: 1845463673, test failed, incorrect number of cards in hand.
Seed: 712524521, test failed, incorrect number of cards in hand.
Seed: 1069926466, test failed, incorrect number of cards in hand.
Seed: 215360105, test failed, incorrect number of cards in hand.
Seed: 1452897511, test failed, incorrect number of cards in hand.
Seed: 2066905018, test failed, incorrect number of cards in hand.
Seed: 467803214, test failed, incorrect number of cards in hand.
Seed: 700632044, test failed, incorrect number of cards in hand.
Seed: 287321762, test failed, incorrect number of cards in hand.
Seed: 187673410, test failed, incorrect number of cards in hand.
Seed: 1820762784, test failed, incorrect number of cards in hand.
Seed: 1695659447, test failed, incorrect number of cards in hand.
Seed: 936305981, test failed, incorrect number of cards in hand.
Seed: 1203481236, test failed, incorrect number of cards in hand.
Seed: 518572114, test failed, incorrect number of cards in hand.
Seed: 1280987736, test failed, incorrect number of cards in hand.
Seed: 1511260684, test failed, incorrect number of cards in hand.
Seed: 1278159998, test failed, incorrect number of cards in hand.
Seed: 8975444, test failed, incorrect number of cards in hand.
Seed: 945433906, test failed, incorrect number of cards in hand.
Seed: 1714267353, test failed, incorrect number of cards in hand.
Seed: 1754722835, test failed, incorrect number of cards in hand.
Seed: 1257861834, test failed, incorrect number of cards in hand.
Seed: 317687803, test failed, incorrect number of cards in hand.
Seed: 304187092, test failed, incorrect number of cards in hand.
Seed: 2111241786, test failed, incorrect number of cards in hand.
Seed: 1945395236, test failed, incorrect number of cards in hand.
Seed: 1461294920, test failed, incorrect number of cards in hand.
Seed: 1163531968, test failed, incorrect number of cards in hand.
Seed: 1181140630, test failed, incorrect number of cards in hand.
Seed: 1644900111, test failed, incorrect number of cards in hand.
Seed: 1989066291, test failed, incorrect number of cards in hand.
Seed: 437668467, test failed, incorrect number of cards in hand.
Seed: 979352243, test failed, incorrect number of cards in hand.
Seed: 1103556101, test failed, incorrect number of cards in hand.
Seed: 1863013118, test failed, incorrect number of cards in hand.
Seed: 1917374099, test failed, incorrect number of cards in hand.
Seed: 1967271330, test failed, incorrect number of cards in hand.
Seed: 168364344, test failed, incorrect number of cards in hand.
Seed: 409774399, test failed, incorrect number of cards in hand.
Seed: 429649206, test failed, incorrect number of cards in hand.
Seed: 1536259305, test failed, incorrect number of cards in hand.
Seed: 1401617080, test failed, incorrect number of cards in hand.
Seed: 1705310748, test failed, incorrect number of cards in hand.
Seed: 344906852, test failed, incorrect number of cards in hand.
Seed: 1199858425, test failed, incorrect number of cards in hand.
Seed: 1916234278, test failed, incorrect number of cards in hand.
Seed: 157283383, test failed, incorrect number of cards in hand.
Seed: 1339907412, test failed, incorrect number of cards in hand.
Seed: 559455178, test failed, incorrect number of cards in hand.
Seed: 878870480, test failed, incorrect number of cards in hand.
Seed: 1578476410, test failed, incorrect number of cards in hand.
Seed: 2137025380, test failed, incorrect number of cards in hand.
Seed: 806595580, test failed, incorrect number of cards in hand.
Seed: 80614200, test failed, incorrect number of cards in hand.
Seed: 1937049202, test failed, incorrect number of cards in hand.
Seed: 460614314, test failed, incorrect number of cards in hand.
Seed: 134956240, test failed, incorrect number of cards in hand.
Seed: 1097806603, test failed, incorrect number of cards in hand.
Seed: 33277378, test failed, incorrect number of cards in hand.
Seed: 1342993521, test failed, incorrect number of cards in hand.
Seed: 2074759322, test failed, incorrect number of cards in hand.
Seed: 721428094, test failed, incorrect number of cards in hand.
Seed: 264876428, test failed, incorrect number of cards in hand.
Seed: 950913551, test failed, incorrect number of cards in hand.
Seed: 1549626695, test failed, incorrect number of cards in hand.
Seed: 1311626016, test failed, incorrect number of cards in hand.
Seed: 38025773, test failed, incorrect number of cards in hand.
Seed: 23500826, test failed, incorrect number of cards in hand.
Seed: 313879427, test failed, incorrect number of cards in hand.
Seed: 209206831, test failed, incorrect number of cards in hand.
Seed: 969766382, test failed, incorrect number of cards in hand.
Seed: 1300643531, test failed, incorrect number of cards in hand.
Seed: 791481529, test failed, incorrect number of cards in hand.
Seed: 1133289543, test failed, incorrect number of cards in hand.
Seed: 35784924, test failed, incorrect number of cards in hand.
Seed: 1479344478, test failed, incorrect number of cards in hand.
Seed: 1885024645, test failed, incorrect number of cards in hand.
Seed: 731105827, test failed, incorrect number of cards in hand.
Seed: 153447006, test failed, incorrect number of cards in hand.
Seed: 132090518, test failed, incorrect number of cards in hand.
Seed: 70908701, test failed, incorrect number of cards in hand.
Seed: 1507872505, test failed, incorrect number of cards in hand.
Seed: 213753048, test failed, incorrect number of cards in hand.
Seed: 647448146, test failed, incorrect number of cards in hand.
Seed: 36749579, test failed, incorrect number of cards in hand.
Seed: 338245024, test failed, incorrect number of cards in hand.
Seed: 432179993, test failed, incorrect number of cards in hand.
Seed: 537193530, test failed, incorrect number of cards in hand.
Seed: 1412021744, test failed, incorrect number of cards in hand.
Seed: 1214703153, test failed, incorrect number of cards in hand.
Seed: 1423813157, test failed, incorrect number of cards in hand.
Seed: 1467987882, test failed, incorrect number of cards in hand.
Seed: 883519325, test failed, incorrect number of cards in hand.
Seed: 1445804226, test failed, incorrect number of cards in hand.
Seed: 297974611, test failed, incorrect number of cards in hand.
Seed: 1286861134, test failed, incorrect number of cards in hand.
Seed: 1033239230, test failed, incorrect number of cards in hand.
Seed: 690010014, test failed, incorrect number of cards in hand.
Seed: 188774281, test failed, incorrect number of cards in hand.
Seed: 1362790454, test failed, incorrect number of cards in hand.
Seed: 320702119, test failed, incorrect number of cards in hand.
Seed: 385039070, test failed, incorrect number of cards in hand.
Seed: 1742673338, test failed, incorrect number of cards in hand.
Seed: 1720119538, test failed, incorrect number of cards in hand.
Seed: 1455037407, test failed, incorrect number of cards in hand.
Seed: 1289290124, test failed, incorrect number of cards in hand.
Seed: 280271813, test failed, incorrect number of cards in hand.
Seed: 377925878, test failed, incorrect number of cards in hand.
Seed: 750872318, test failed, incorrect number of cards in hand.
Seed: 1556957004, test failed, incorrect number of cards in hand.
Seed: 703279208, test failed, incorrect number of cards in hand.
Seed: 1702442779, test failed, incorrect number of cards in hand.
Seed: 535147975, test failed, incorrect number of cards in hand.
Seed: 286545066, test failed, incorrect number of cards in hand.
Seed: 1089325584, test failed, incorrect number of cards in hand.
Seed: 1141272357, test failed, incorrect number of cards in hand.
Seed: 625717686, test failed, incorrect number of cards in hand.
Seed: 1423911536, test failed, incorrect number of cards in hand.
Seed: 123274042, test failed, incorrect number of cards in hand.
Seed: 643209644, test failed, incorrect number of cards in hand.
Seed: 389906218, test failed, incorrect number of cards in hand.
Seed: 977138001, test failed, incorrect number of cards in hand.
Seed: 1760662872, test failed, incorrect number of cards in hand.
Seed: 1882027130, test failed, incorrect number of cards in hand.
Seed: 11092576, test failed, incorrect number of cards in hand.
Seed: 795492629, test failed, incorrect number of cards in hand.
Seed: 1914396972, test failed, incorrect number of cards in hand.
Seed: 1893171195, test failed, incorrect number of cards in hand.
Seed: 1964132724, test failed, incorrect number of cards in hand.
Seed: 586765776, test failed, incorrect number of cards in hand.
Seed: 11117222, test failed, incorrect number of cards in hand.
Seed: 1789241143, test failed, incorrect number of cards in hand.
Seed: 23888747, test failed, incorrect number of cards in hand.
Seed: 826951594, test failed, incorrect number of cards in hand.
Seed: 1262272673, test failed, incorrect number of cards in hand.
Seed: 1224991068, test failed, incorrect number of cards in hand.
Seed: 328293178, test failed, incorrect number of cards in hand.
Seed: 1480015713, test failed, incorrect number of cards in hand.
Seed: 1784731523, test failed, incorrect number of cards in hand.
Seed: 702069801, test failed, incorrect number of cards in hand.
Seed: 1917927925, test failed, incorrect number of cards in hand.
Seed: 391778519, test failed, incorrect number of cards in hand.
Seed: 1994769767, test failed, incorrect number of cards in hand.
Seed: 590956772, test failed, incorrect number of cards in hand.
Seed: 1088907876, test failed, incorrect number of cards in hand.
Seed: 1529458940, test failed, incorrect number of cards in hand.
Seed: 381204589, test failed, incorrect number of cards in hand.
Seed: 767831476, test failed, incorrect number of cards in hand.
Seed: 1936849887, test failed, incorrect number of cards in hand.
Seed: 652046897, test failed, incorrect number of cards in hand.
Seed: 307339311, test failed, incorrect number of cards in hand.
Seed: 558541258, test failed, incorrect number of cards in hand.
Seed: 262959266, test failed, incorrect number of cards in hand.
Seed: 698185360, test failed, incorrect number of cards in hand.
Seed: 1708183215, test failed, incorrect number of cards in hand.
Seed: 1546216973, test failed, incorrect number of cards in hand.
Seed: 548532518, test failed, incorrect number of cards in hand.
Seed: 2059486398, test failed, incorrect number of cards in hand.
Seed: 29668962, test failed, incorrect number of cards in hand.
Seed: 236297266, test failed, incorrect number of cards in hand.
Seed: 1982407091, test failed, incorrect number of cards in hand.
Seed: 789893942, test failed, incorrect number of cards in hand.
Seed: 1072750962, test failed, incorrect number of cards in hand.
Seed: 1506815195, test failed, incorrect number of cards in hand.
Seed: 358619506, test failed, incorrect number of cards in hand.
Seed: 700148470, test failed, incorrect number of cards in hand.
Seed: 1845780267, test failed, incorrect number of cards in hand.
Seed: 442426073, test failed, incorrect number of cards in hand.
Seed: 720428389, test failed, incorrect number of cards in hand.
Seed: 1810225989, test failed, incorrect number of cards in hand.
Seed: 1770500902, test failed, incorrect number of cards in hand.
Seed: 867905766, test failed, incorrect number of cards in hand.
Seed: 148288396, test failed, incorrect number of cards in hand.
Seed: 692665385, test failed, incorrect number of cards in hand.
Seed: 1649734921, test failed, incorrect number of cards in hand.
Seed: 1456855470, test failed, incorrect number of cards in hand.
Seed: 812909133, test failed, incorrect number of cards in hand.
Seed: 2060593787, test failed, incorrect number of cards in hand.
Seed: 292993201, test failed, incorrect number of cards in hand.
Seed: 1113450333, test failed, incorrect number of cards in hand.
Seed: 417084284, test failed, incorrect number of cards in hand.
Seed: 1074945161, test failed, incorrect number of cards in hand.
Seed: 1548218669, test failed, incorrect number of cards in hand.
Seed: 292978540, test failed, incorrect number of cards in hand.
Seed: 1341986465, test failed, incorrect number of cards in hand.
Seed: 2018962014, test failed, incorrect number of cards in hand.
Seed: 1333281111, test failed, incorrect number of cards in hand.
Seed: 1193158269, test failed, incorrect number of cards in hand.
Seed: 2000323806, test failed, incorrect number of cards in hand.
Seed: 1471351696, test failed, incorrect number of cards in hand.
Seed: 2072941735, test failed, incorrect number of cards in hand.
Seed: 660251939, test failed, incorrect number of cards in hand.
Seed: 1831645385, test failed, incorrect number of cards in hand.
Seed: 912511673, test failed, incorrect number of cards in hand.
Seed: 1167994769, test failed, incorrect number of cards in hand.
Seed: 460934070, test failed, incorrect number of cards in hand.
Seed: 780112783, test passed.
Seed: 18024595, test failed, incorrect number of cards in hand.
Seed: 70406671, test failed, incorrect number of cards in hand.
Seed: 1290536268, test failed, incorrect number of cards in hand.
Seed: 1730487681, test failed, incorrect number of cards in hand.
Seed: 945267648, test failed, incorrect number of cards in hand.
Seed: 1721231791, test failed, incorrect number of cards in hand.
Seed: 1226613629, test failed, incorrect number of cards in hand.
Seed: 1847728832, test failed, incorrect number of cards in hand.
Seed: 1345736388, test failed, incorrect number of cards in hand.
Seed: 1322981067, test failed, incorrect number of cards in hand.
Seed: 1782020785, test failed, incorrect number of cards in hand.
Seed: 1135316986, test failed, incorrect number of cards in hand.
Seed: 1267318423, test failed, incorrect number of cards in hand.
Seed: 1890204421, test failed, incorrect number of cards in hand.
Seed: 1767363909, test failed, incorrect number of cards in hand.
Seed: 1756295632, test failed, incorrect number of cards in hand.
Seed: 219360817, test failed, incorrect number of cards in hand.
Seed: 397549756, test failed, incorrect number of cards in hand.
Seed: 1920605808, test failed, incorrect number of cards in hand.
Seed: 275789992, test failed, incorrect number of cards in hand.
Seed: 646408385, test failed, incorrect number of cards in hand.
Seed: 1696798806, test failed, incorrect number of cards in hand.
Seed: 653713656, test failed, incorrect number of cards in hand.
Seed: 700866928, test failed, incorrect number of cards in hand.
Seed: 2141640282, test failed, incorrect number of cards in hand.
Seed: 942736747, test failed, incorrect number of cards in hand.
Seed: 90759942, test failed, incorrect number of cards in hand.
Seed: 864423956, test failed, incorrect number of cards in hand.
Seed: 283142948, test failed, incorrect number of cards in hand.
Seed: 232481054, test failed, incorrect number of cards in hand.
Seed: 760727920, test failed, incorrect number of cards in hand.
Seed: 1647429516, test failed, incorrect number of cards in hand.
Seed: 37381622, test failed, incorrect number of cards in hand.
Seed: 1633820602, test failed, incorrect number of cards in hand.
Seed: 1373358486, test failed, incorrect number of cards in hand.
Seed: 1301597072, test failed, incorrect number of cards in hand.
Seed: 2144593736, test failed, incorrect number of cards in hand.
Seed: 1686063177, test failed, incorrect number of cards in hand.
Seed: 1461177132, test failed, incorrect number of cards in hand.
Seed: 175580604, test failed, incorrect number of cards in hand.
Seed: 16520781, test failed, incorrect number of cards in hand.
Seed: 1948414368, test failed, incorrect number of cards in hand.
Seed: 1857725016, test failed, incorrect number of cards in hand.
Seed: 107004261, test failed, incorrect number of cards in hand.
